目标编号,母任务项,任务编号,任务项,子任务编号,具体任务,执行责任人 (人员 ),起始时间,截止时间,任务负责人（负责拆解任务到执行者）,状态,遗留事项,本周进度,下一步计划,上周任务进度
G-001,T-001 智能网联系统生态,T-001-01,T-001-01 智能网联项目管理,01A,明确智能网联系统合规性规范要求，特别是安全等级相关指南与标准，纳入项目管理规范目录。,"刘博洋,房佳盈,肖飞",2026-05-25,2026-06-30,"曹丽雪
刘博洋",进行中,1. 继续调研规范和指南的指导原则和边界条件，指导如何与医院去沟通。,,,"1. 调研HIS系统和医院网络安全要求（等保三级），输出文档等保三级与医院DMZ；
2. 对照等级保护要求，输出系统自查手册智能网联医疗系统等保三级自查与整改手册；
3. 完成并输出Queen对接医院信息系统的初版方案，并以北京友谊医院为例研究方案落地可行性；同时论证等保三级认证的需求；"
G-001,T-001 智能网联系统生态,T-001-01,T-001-01 智能网联项目管理,01B,制定智能网联系统四大组件技术文档目录（后端、Qween、小程序、APP）,曹丽雪,2026-06-08,2026-06-14,"曹丽雪
刘博洋",进行中,参考智能网联系统合规性规范相关要求，调整目录清单,,,初步调研四大组件技术文档目录相关资料：‬‌﻿‍⁠‍⁠⁠‌⁠‬⁠﻿﻿‌‌﻿‍‬﻿‌智能网联四大组件技术文档清单-V20260605r1 - 飞书云文档
G-001,T-001 智能网联系统生态,T-001-02,T-001-02 智能网联及全景真实世界研究,02A,制定真研方案，与价采中心预约首轮沟通。,胡峰,2026-05-23,2026-05-31,"胡峰
刘博洋",进行中,"1. 友谊初步方案制定所需数据（信息科），需杜风协助（已请胡筱箐跟踪）。
2. 齐鲁方面摸清临时采购方案。",,,
G-001,T-001 智能网联系统生态,T-001-03,T-001-03 微信小程序（α 版）开发上线,03A,小程序首次发布,房佳盈,,,"房佳盈
刘博洋",进行中,"1. 知情同意等相关协议待确认、定版；
2. 财务需求账单待多轮测试输出账单文件；
3. 小程序业务流新修改待确认后重构；
4. 首页内容待确认、定版；",,,"1. 与临床、运营部门对接小程序前端展示内容，输出 [势通健康通] 微信小程序页面内容需求与规范；
2. 对照系统自查手册，开展小程序代码自查智能网联医疗系统等保三级自查与整改手册；
3. 智能网联系统全流程联调，配合完成小程序端数据加密（端到端）的新增功能；"
G-001,T-001 智能网联系统生态,T-001-03,T-001-03 微信小程序（α 版）开发上线,03B,完成医院接口联调小程序更新,房佳盈,2026-04-30,2026-06-15,"房佳盈
刘博洋",进行中,"1. 待与医院对接反馈对接方式；
2. 退款逻辑关节细节待讨论；",,,1. 调研医院常见网络架构及可以采用的对接方案；
G-001,T-001 智能网联系统生态,T-001-04,T-001-04 终端 APP（α 版） 开发上线,04A,型式检验版本UI设计交付,夏广培,2026-03-01,2026-04-30,刘博洋,进行中,"1. UI 屏幕自适应适配
2. 协同设计师优化初版界面",,,
G-001,T-001 智能网联系统生态,T-001-04,T-001-04 终端 APP（α 版） 开发上线,04B,主体功能并行开发,刘博洋,2026-06-01,2026-06-30,刘博洋,进行中,,,,1. 本周无进展
G-001,T-001 智能网联系统生态,T-001-04,T-001-04 终端 APP（α 版） 开发上线,04C,软件开发文档,刘博洋,2026-05-25,2026-06-15,刘博洋,进行中,,,,1. 完成CVista型检版APP软件所有DHF文档首版输出
G-001,T-001 智能网联系统生态,T-001-05,T-001-05 QUEEN 桌面 APP （α 版）开发上线,05A,软件开发文档,肖飞,2026-03-01,2026-05-15,"房佳盈
刘博洋",进行中,已完成文档未进行评审,,,完成所有型检文档的初版撰写
G-001,T-001 智能网联系统生态,T-001-05,T-001-05 QUEEN 桌面 APP （α 版）开发上线,05B,功能开发,肖飞,,,"房佳盈
刘博洋",进行中,"1. 阅片逻辑和UI细节继续完善；
2. 网络安全方案继续研究和落地；
3. 远程OTA方案继续优化和落地；
4. 最终正式版阅片软件交付通道方案继续完善和落地；",,,扩展最简软件下载通道为网页
